Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-09-24 08:53:01,Running,,2.42,31:46,13:08,4.57,225.0,99,,,2016-09-24-0853.gpx
2016-09-11 19:09:51,Running,,1.85,26:16,14:12,4.23,158.0,7,,,2016-09-11-1909.gpx
2016-09-05 11:17:05,Hiking,,7.58,3:06:39,24:37,2.44,754.0,278,,,2016-09-05-1117.gpx
2016-09-03 09:35:09,Running,,1.23,16:47,13:38,4.40,113.0,53,,,2016-09-03-0935.gpx
2016-09-03 09:25:25,Running,,0.00,8:24,,,0.0,0,,,
2016-07-04 10:03:03,Hiking,,2.72,1:05:59,24:18,2.47,251.0,314,,"Morning Hike",2016-07-04-1003.gpx
2016-07-04 07:20:00,Hiking,,2.88,2:00:00,41:41,1.44,508.0,2125,,,2016-07-04-0720.gpx
2016-06-26 08:47:53,Running,,2.93,38:40,13:13,4.54,277.0,201,,"Morning Run",2016-06-26-0847.gpx
2016-06-12 19:35:06,Running,,2.97,38:00,12:48,4.69,288.0,221,,"Evening Run",2016-06-12-1935.gpx
2016-06-10 19:53:45,Running,,2.49,31:43,12:44,4.71,240.0,171,,"Evening Run",2016-06-10-1953.gpx
2016-06-05 09:56:52,Running,,1.73,19:28,11:14,5.34,150.0,98,,"Morning Run",2016-06-05-0956.gpx
